"","baker.season.episode","X","baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season","result","status"
"261","Hermine_11_9",738,"Hermine","Creme ét Abricot Baba au Rhum","2nd","'The Best of Hermine' Cube Cakes",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ",11,"OUT",""
"262","Holly_2_1",2,"Holly","Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle","1st","Novelty Farm Cake",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"SB",""
"263","Holly_2_2",14,"Holly","Pesto Quiche","4th","Milk Chocolate and Pistachio TartsTrifle Tarts",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"",""
"264","Holly_2_3",25,"Holly","Picnic Loaf","6th","Stilton and Walnut Rolls",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"",""
"265","Holly_2_4",35,"Holly","Strawberry and Custard Melts","3rd","'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ",2,"SB",""
"266","Holly_2_5",42,"Holly","Stilton, Potato and Caramelised Onion Pie","4th","Lime Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ",2,"",""
"267","Holly_2_6",49,"Holly","Father Christmas' Baked Cheesecake","3rd","Hansel and Gretel's Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ",2,"","Least Favorite"
"268","Holly_2_7",54,"Holly","White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake","1st","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ",2,"","Favorite"
"269","Holly_2_8",58,"Holly","Banoffee Inspired Mille Feuille","2nd","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich",8,"12 Mille Feuille ","Sachertorte ","Petits Fours ",2,"Runner-up",""
"270","Howard_4_1",143,"Howard","Gluten Free Passion Fruit and Coconut Cake","6th","Black Forest Revisited",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"","Favorite"
"271","Howard_4_2",156,"Howard","Moroccan Breadsticks","10th","Picasso Sun Bread",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"272","Howard_4_3",168,"Howard","Caramel and Apple Trifle*","7th","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"","Least Favorite"
"273","Howard_4_4",178,"Howard","Apple Pie with Sage Pastry","5th","Fresh Fig and Feta Filo Flan",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"",""
"274","Howard_4_5",186,"Howard","Breakfast Traybake","8th","Japanese Pagoda Tea Tower",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"",""
"275","Howard_4_6",194,"Howard","Date & Hemp Yorkshire Loaf","7th","Peachy BunsGerman Baumschnecken",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"OUT",""
"276","Iain_5_1",219,"Iain","Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","4th","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"","Least Favorite"
"277","Iain_5_2",230,"Iain","Za'atar and Fig Biscuits","11th","Wild West Scene",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
"278","Iain_5_3",240,"Iain","Cranberry and Walnut Rye Bread Rolls","9th","Moroccan Plaited with a Bessara Dip",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"",""
"279","Iain_5_4",250,"Iain","Chocolate, Lime and Raspberry Fondants","6th","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",4,"8 Self Saucing Puddings ","Tiramisu Cake ","Baked Alaska ",5,"OUT",""
"280","Ian_2_1",3,"Ian","Apple and Cinnamon Cupcakes","10th","",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"",""
"281","Ian_2_2",15,"Ian","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry","2nd","",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"","Favorite"
"282","Ian_2_3",26,"Ian","Courgette, Caerphilly Cheese and Thyme Loaf","10th","Walnut and Raisin RollsCracked Wheat Logs",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"OUT",""
"283","Ian_6_1",291,"Ian","Somewhere West of Madeira Cake","8th","Black Forest Cherry Tree",1,"Madeira Cake ","Frosted Walnut Layer Cake ","Black Forest Gâteau ",6,"",""
"284","Ian_6_10",360,"Ian","Elderflower and Lemon & Spiced Buns","2nd","Colossal Curvy Carrot Cake",10,"16 Iced Buns ","Mille Feuille ","Classic British Cake ",6,"Runner-up",""
"285","Ian_6_2",303,"Ian","Orange, Rosemary and Almond Biscotti","3rd","Sandwich de la Confiture",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ",6,"SB",""
"286","Ian_6_3",314,"Ian","Wild Garlic Pesto Soda Breads","1st","Flour Power",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ",6,"SB",""
"287","Ian_6_4",323,"Ian","Pomegranate Two Ways Crème Brûlées","4th","Trio of Spicy and Herby Baked Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ",6,"SB",""
"288","Ian_6_5",332,"Ian","Honey and Flowers Cake","5th","Dessert Island",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ",6,"",""
"289","Ian_6_6",340,"Ian","Pear and Raspberry Frangipane Tart","3rd","Vol-au-vents Terre et Mer",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ",6,"",""
"290","Ian_6_7",346,"Ian","Roadkill Pie","5th","Victoria's Crown Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ",6,"","Favorite"
"291","Ian_6_8",352,"Ian","Mont Blanc & Black Forest Gâteau Horns","2nd","Nun with Hidden Passions",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ",6,"",""
"292","Ian_6_9",357,"Ian","Chocolate and Bay Tart","3rd","Chocolate Well",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ",6,"","Least Favorite"
"293","Imelda_9_1",516,"Imelda","Cherry and White Chocolate Oatmeal Biscuits","11th","""Seaside Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"OUT",""
"294","Jairzinho_12_1",750,"Jairzinho","Lime & Passionfruit Mini Rolls","9th","‘Kick the Can’ Cake",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Least Favorite"
"295","Jairzinho_12_2",762,"Jairzinho","Chocolate, Passion Fruit & Pineapple Brandy Snaps","9th","Tall Ship",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"OUT",""
"296","James_3_1",64,"James","Parsnip, Pear, and Pecan Upside Down Cake","2nd","""Simmer Dim"" Sunset Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"",""
"297","James_3_10",135,"James","Spanish Pithivier with Chorizo and Red Pepper","1st","United Chiffon Cakes",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ",3,"Runner-up",""
"298","James_3_2",76,"James","Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","2nd","Orange, Mint and Chocolate Bagels; 'Millers' Sourdough Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"","Favorite"
"299","James_3_3",87,"James","Apple and Lavender Tarte Tatin","1st","Rose, Lychee and Raspberry Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"SB",""
"300","James_3_4",97,"James","Hazelnut, Chocolate and Passionfruit Torte","5th","Fig, Chestnut, Cherry and Chocolate Layered Meringue",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"",""
"301","James_3_5",106,"James","Four Pig Wellington","6th","Sweet Potato Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"",""
"302","James_3_6",114,"James","Banana and Clove PuddingsClootie Dumplings","7th","Strawberry, Rhubarb and Ginger Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ",3,"","Least Favorite"
"303","James_3_7",121,"James","Easter Chelsea Buns","1st","Whisky Kugelhopf-Brioche Baba",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ",3,"","Least Favorite"
"304","James_3_8",128,"James","Smoky Cayenne, Cumin and Chilli Crackers","1st","Gingerbread Barn",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ",3,"SB",""
"305","James_3_9",132,"James","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons","1st","Coffee, Caramel and Hazelnut Paris–Brest",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ",3,"SB",""
"306","James_8_1",440,"James","Orange, Rhubarb & Ginger Crumble Cake","2nd","'Mock-accino and Croissant' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"",""
"307","James_8_2",452,"James","Rhubarb and Custard Whirls","3rd","'Coppit' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"",""
"308","James_8_3",462,"James","Nordic Teacakes","9th","'Owl in the Woods' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ",8,"",""
"309","James_8_4",471,"James","'Windy City' Millionaire Shortbreads","2nd","Nutty Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ",8,"","Least Favorite"
"310","James_8_5",480,"James","Orange and Ginger Steamed School Pudding","7th","'The Missed Silver Jubilee' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ",8,"OUT",""
"311","Jamie_10_1",595,"Jamie","Easter Simnel Cake","13th","Salted Caramel Schnauzer Birthday Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"","Least Favorite"
"312","Jamie_10_2",607,"Jamie","Cherry Caramel Shortbread Biscuit Bars","11th","Biscuit Guitar",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"OUT",""
"313","Jane_7_1",366,"Jane","Lemon and Poppy Seed Drizzle Cake","7th","Chocolate Orange Mirror Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"SB",""
"314","Jane_7_10",437,"Jane","Red, White and Blue Meringue Crown","3rd","Family Favourites Feast",10,"Meringue Crowns ","Victoria Sandwich with No Recipe ","Picnics ",7,"Runner-up",""
"315","Jane_7_2",378,"Jane","Flower Pot Iced Biscuits","2nd","Hastings Old Town Fishing Net Shops and Boat",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"",""
"316","Jane_7_3",389,"Jane","Chocolate and Cranberry Couronne","9th","Chorizo and Chilli Flower with Parmesan and Pesto Centre",3,"Chocolate Loaf ","Dampfnudel ","Savoury Plaited  Braided  Centrepiece ",7,"",""
"317","Jane_7_4",399,"Jane","Meat and Two Veg Yorkshires","3rd","Pistachio and White Chocolate Churros",4,"Filled Yorkshire Puddings ","12 Heart Shaped Lace Pancakes ","36 Churros ",7,"",""
"318","Jane_7_5",408,"Jane","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","1st","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",5,"24 Breakfast Pastries ","Bakewell Tart ","48 Filo Amuse Bouche ",7,"","Favorite"
"319","Jane_7_6",416,"Jane","Lime and Coconut Meringue Pie","4th","Three Tier Orange Cake with a Floral Chocolate Collar",6,"Citrus Meringue Pie ","2 Herb Fougasse ","Three Tier Flower Cake ",7,"",""
"320","Jane_7_7",423,"Jane","Chocolate and Hazelnut Roulade","4th","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombré Mousses",7,"Family Sized Roulade ","Marjolaine Dacquoise ","24 Mini Mousse Cakes ",7,"",""
"321","Jane_7_8",429,"Jane","Tudor Rose Pies","5th","Swans",8,"Shaped Savoury Pies ","12 Jumbles ","3D Marchpane Cake ",7,"","Favorite"
"322","Jane_7_9",433,"Jane","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","1st","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies",9,"24 Savoury Palmiers ","Savarin ","36 Fondant Fancies ",7,"","Least Favorite"
"323","Janet_2_1",4,"Janet","Raspberry and Cream Cupcakes","8th","Chocolate Marble Cakewith Dark and White Chocolate Truffles",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"",""
"324","Janet_2_2",16,"Janet","Quiche Printanière","8th","Red Fruit TartsChocolate and Cherry Tarts",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"",""
"325","Janet_2_3",27,"Janet","Zupfe Loaf with Gruyère Cheese","8th","Apple and Walnut Granary Rolls Red Onion Cottage Rolls",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"","Least Favorite"
"326","Janet_2_4",36,"Janet","Christmas Marzipan Biscuits","4th","Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ",2,"",""
"327","Janet_2_5",43,"Janet","Chicken and Chestnut Pie","1st","Rhubarb Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ",2,"SB",""
"328","Janet_2_6",50,"Janet","Rhubarb and Ginger Baked Cheesecake","5th","Orange and Nougatine Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ",2,"","Favorite"
"329","Janet_2_7",55,"Janet","Chocolate Amaretto Mousse Cake","4th","Pain Aux RaisinPlain CroissantPain Au Chocolat",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ",2,"OUT",""
"330","Jason_2_1",5,"Jason","Lemon Meringue CupcakesApple and Cinnamon Cupcakes","6th","",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"",""
"331","Jason_2_2",17,"Jason","Salmon and Pak Choi Quiche","3rd","Mint Chocolate TartsBlueberry Bakewell Tarts",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"SB",""
"332","Jason_2_3",28,"Jason","Cheese and Onion Tear and Share Loaf","7th","",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"",""
"333","Jason_2_4",37,"Jason","Lebkuchen","1st","Mocktail Macarons(Mojito, Cranberry Cooler, and Piña Colada)",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ",2,"SB",""
"334","Jason_2_5",44,"Jason","Brown Down Chicken Pie","7th","Plum Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ",2,"OUT",""
"335","Jo_2_1",6,"Jo","Chocolate Orange CupcakesOrange and Cardamom Cupcakes","11th","Chocolate and Strawberry Cake",1,"24 Cupcakes ","Coffee and Walnut Battenberg ","Chocolate Tiered Cake ",2,"","Favorite"
"336","Jo_2_2",18,"Jo","Caramelised Onion, Gruyere and Thyme Quiche","10th","Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust",2,"Quiche ","Tarte au Citron ","24 Miniature Sweet Tarts ",2,"","Least Favorite"
"337","Jo_2_3",29,"Jo","Ham, Mozzarella and Picante Pepper Stromboli","1st","",3,"Free Form Loaf ","Focaccia ","12 sweet and 12 savoury rolls ",2,"",""
"338","Jo_2_4",38,"Jo","Lavender Biscuits","8th","Blueberry MacaronsCoconut MacaronsStrawberry Macarons",4,"12 Biscuits ","24 Brandy Snaps ","Macarons ",2,"",""
"339","Jo_2_5",45,"Jo","Salmon and Asparagus Pie","6th","Apple and Raspberry Meringue Pie",5,"Family Pie ","6 Miniature Pork Pie ","Meringue Pie ",2,"",""
"340","Jo_2_6",51,"Jo","Rum and Raisin Baked Cheesecake","1st","Limoncello and White Chocolate Croquembouche",6,"Baked Cheesecake ","Chocolate Roulade ","Croquembouche ",2,"SB",""
"341","Jo_2_7",56,"Jo","Raspberry & Strawberry Mousse Cake","3rd","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries",7,"Layered Mousse Cake ","12 Iced Fingers ","3 Different Types of Pastries or Croissants ",2,"","Favorite"
"342","Jo_2_8",59,"Jo","Raspberry and Blueberry Mille Feuille","1st","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",8,"12 Mille Feuille ","Sachertorte ","Petits Fours ",2,"WINNER",""
"343","John_3_1",65,"John","Toffee Apple, Orange & Cranberry Upside Down Cake","11th","Hidden Pink Hearts Cake",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"",""
"344","John_3_10",136,"John","Italian Sausage and Roasted Vegetable Pithivier","2nd","Heaven and Hell Chiffon Cake",10,"Pithivier ","25 Fondant Fancies ","Chiffon Cake ",3,"WINNER",""
"345","John_3_2",77,"John","Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","1st","Fig, Walnut and Gruyere Bagels;   Blueberry and White Chocolate Bagels",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"SB",""
"346","John_3_3",88,"John","Apple and Vanilla Tarte Tatin with Walnut Praline","6th","Berries, Grapes, Pomegranate, and Dragon Fruit Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"",""
"347","John_3_4",98,"John","'Torte Noir' Black Forest Torte with Boozy Cream","6th","Elderflower and Bramble Berry Pavlova",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"",""
"348","John_3_5",107,"John","Venison and Haggis Wellington","2nd","Star Spangled Pecan Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"",""
"349","John_3_6",115,"John","Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","5th","Did not complete due to injury[1]",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ",3,"","Least Favorite"
"350","John_3_7",122,"John","Cherry and Almond Saffron Buns","3rd","Marzipan Stollen",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ",3,"","Least Favorite"
"351","John_3_8",129,"John","Asian Spice Crackers","3rd","Gingerbread Roman Coliseum",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ",3,"","Favorite"
"352","John_3_9",133,"John","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons","2nd","Gateau St. Honoré a la Passion",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ",3,"","Least Favorite"
"353","Jon_9_1",517,"Jon","Aberffraw 'Creams'","5th","""A Sailing Selfie by the Sea""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"354","Jon_9_2",528,"Jon","Lemon Meringue Traybake","1st","Hawaiian Shirt Pina Colada Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"","Favorite"
"355","Jon_9_3",539,"Jon","Cardiff City vs Chelsea Buns","2nd","Korovai Dydd Dewi Sant",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"",""
"356","Jon_9_4",548,"Jon","Mango and Passion Fruit Roulade","3rd","Lucy and Hannah's Ballet Cake",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"","Favorite"
"357","Jon_9_5",557,"Jon","Family Christmas Ginger Cake","7th","Birthday Chandelier for Emily's 21st",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"","Least Favorite"
"358","Jon_9_6",566,"Jon","A Romantic Dinner For Two, Samosa Style","2nd","Welsh Dragon Pie",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ",9,"",""
"359","Jon_9_7",572,"Jon","Garlic Mushroom Tartlets and Falafel & Hummus Tartlets","4th","Only Fools Eat Horses Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ",9,"OUT",""
"360","Jordan_5_1",220,"Jordan","Kawaii Frasier Swiss Roll","12th","Lemon Drizzle Cakes with Blueberry and Lemon Curd",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"","Least Favorite"
"361","Jordan_5_2",231,"Jordan","Sourdough, Parmesan and Chilli Biscuits","6th","Monster Attack",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
"362","Jordan_5_3",241,"Jordan","Rye and Spelt Bread Rolls","10th","Strawberry Raspberry Cheesecake Brioche",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"OUT",""
"363","Julia_8_1",441,"Julia","Courgette and Lemon Cake","3rd","'Russian Doll' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"",""
"364","Julia_8_2",453,"Julia","Middle Eastern Delight Sandwich Biscuits","4th","'A British Baking' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"",""
"365","Julia_8_3",463,"Julia","Earl Grey Dried Fruit Teacakes","2nd","'The Snail Under a Mushroom' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ",8,"SB",""
"366","Julia_8_4",472,"Julia","Pecan Salted Caramel Millionaire Shortbreads","9th","Poppy Seed Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ",8,"",""
"367","Julia_8_5",481,"Julia","Orange & Treacle Steamed School Pudding","3rd","'Opulent Ornament' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ",8,"","Least Favorite"
"368","Julia_8_6",488,"Julia","'Pies from the Tree' Decorative Pies","7th","'Special Occasion' Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ",8,"OUT",""
"369","Jürgen_12_1",751,"Jürgen","'Schwarzwald' Mini Rolls","6th","'Night Time Reading'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"SB",""
"370","Jürgen_12_2",763,"Jürgen","'A Cup of Chai' Brandy Snaps","1st","Grandpa's Windmill",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"SB",""
"371","Jürgen_12_3",773,"Jürgen","'Kipper-caccia' Focaccia","5th","’The Baby'",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"",""
"372","Jürgen_12_4",783,"Jürgen","'Passover Pavlova'","1st","'Passtyme with Good Companye'",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"","Favorite"
"373","Jürgen_12_5",792,"Jürgen","Tee-Sterne & Milchkaffee-Gipfele","4th","Beer Soaked Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"","Favorite"
"374","Jürgen_12_6",799,"Jürgen","'Exotic Flavour & 70's Colour'","1st","'Lunch in Freiburg'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"",""
"375","Jürgen_12_7",805,"Jürgen","Triple Nut Caramel Delight","2nd","'Caramel Contrasts'",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"SB",""
"376","Jürgen_12_8",810,"Jürgen","'Meet My Favourites'","4th","Ultimate Gluten-free Birthday Cake",8,"8 Dairy free Iced Cream Sandwiches ","8 Vegan Sausage Rolls ","Gluten free Celebration Cake ",12,"","Favorite"
"377","Jürgen_12_9",815,"Jürgen","Murder at the Opera","1st","'Torii Gate in the Sea'",9,"8 Pâtisserie Style Layered Slices ","Sablé Breton Tart ","Themed Banquet Display ",12,"OUT",""
"378","Karen_9_1",518,"Karen","Yorkshire Perkins","6th","Rosewater and Cardamom ""Holiday Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"379","Karen_9_2",529,"Karen","Almond and Marzipan Traybake with Rhubarb Jam","11th","Strawberry Fayre Chocolate Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"",""
"380","Karen_9_3",540,"Karen","Peak District Christmas Chelsea Buns","5th","French Breakfast Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"",""
"381","Karen_9_4",549,"Karen","Coffee Cream and Praline Roulade","7th","Chateau Du Chambord Framboise",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"","Least Favorite"
"382","Karen_9_5",558,"Karen","Bonfire Night Ginger Cake","9th","Pontefract Girls' School Reunion",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"OUT",""
"383","Kate_5_1",221,"Kate","Red Velvet and White Chocolate Swiss Roll","6th","Mini Tiered Victoria Sponges",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"",""
"384","Kate_5_2",232,"Kate","Parmesan and Apple Biscuits","4th","Tea Time",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
"385","Kate_5_3",242,"Kate","Orange and Cardamom Rye Bread Knots","1st","Prosciutto, Olive & Coriander Bread",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"","Favorite"
"386","Kate_5_4",251,"Kate","Chocolate and Salted Caramel Molten Puddings","7th","Pistachio, Raspberry and Chocolate Baked Alaska",4,"8 Self Saucing Puddings ","Tiramisu Cake ","Baked Alaska ",5,"","Favorite"
"387","Kate_5_5",258,"Kate","Rhubarb and Custard Tart","3rd","Rhubarb, Prune and Apple Pies",5,"Custard Tart ","Mini Pear Pies ","Three Tiered Pie ",5,"SB",""
"388","Kate_5_6",265,"Kate","Pecan, Chocolate and Sour Cherry Yeast Cake","6th","Trio of Dobos Tortes",6,"Yeast Leavened Cake ","Prinsesstårta ","Dobos Torte ",5,"","Least Favorite"
"389","Kate_5_7",271,"Kate","Spinach and Paneer Spicy Samosa","4th","Neapolitan and Lemon Meringue Éclairs",7,"12 Savoury Parcels ","Kouign Amann ","24 Éclairs ",5,"OUT",""
"390","Kate_7_1",367,"Kate","Berry Best Apple and Bramble Drizzle Cake","4th","One Swallow Does Not Make A Summer Cake",1,"Drizzle Cake ","12 Jaffa Cakes ","Mirror Glaze Cake ",7,"",""
"391","Kate_7_2",379,"Kate","""A Biscuit for the Broads""","1st","""I Promise I Will Do My Best""",2,"24 Iced Biscuits ","12 Viennese Whirls ","Gingerbread 3D Scene ",7,"",""
